Company,Date First
MCO,2/1/2008
MDC,23/07/2009
MED,18/03/2020
MEL,27/09/2017
MHL,26/11/2009
MIH,29/06/2010
MIM,16/08/2010
MKV,21/11/2008
MNC,16/12/2010
MSC,8/2/2017
MST,10/5/2016
MVB,14/10/2016
NAG,22/09/2009
NAP,19/07/2016
NBC,2/1/2008
NBP,6/8/2009
NBW,3/6/2010
NDN,21/04/2011
NDX,17/07/2013
NET,15/09/2010
NFC,3/3/2014
NHC,2/1/2008
NIS,16/09/2010
NLC,2/1/2008
NRC,5/4/2018
NSH,31/07/2017
NSN,20/05/2010
NST,2/1/2008
NTH,19/06/2019
NTP,2/1/2008
NVC,24/01/2008
OCH,1/10/2010
ONE,25/06/2008
PBP,27/01/2015
PCE,23/07/2015
PCG,29/12/2010
PCT,5/8/2010
PDB,3/8/2015
PDC,29/09/2009
PEN,25/09/2014
PGN,4/7/2019
PGS,2/1/2008
PGT,25/12/2009
PHN,13/03/2019
PHP,12/8/2015
PIA,27/10/2021
PIC,10/2/2015
PJC,2/1/2008
PLC,2/1/2008
PMB,7/10/2015
PMC,9/10/2009
PMP,22/09/2015
PMS,2/1/2008
POT,2/1/2008
PPE,21/09/2011
PPP,25/06/2009
PPS,7/1/2011
PPY,2/3/2016
PRC,29/11/2010
PSC,2/1/2008
PSD,28/06/2013
PSE,18/03/2015
PSI,21/07/2010
PSW,21/07/2015
PTD,14/01/2011
PTS,2/1/2008
PV2,16/12/2010
PVB,24/12/2013
PVC,2/1/2008
PVG,7/1/2009
PVI,2/1/2008
PVL,15/04/2010
PVS,2/1/2008
QHD,22/04/2010
QST,16/02/2009
QTC,16/01/2009
RCL,2/1/2008
RHC,2/1/2008
S55,2/1/2008
S64,2/1/2008
S91,2/1/2008
S99,2/1/2008
SAF,2/1/2008
SCG,12/4/2021
SCI,27/10/2021
SD2,2/1/2008
SD4,25/06/2008
SD5,2/1/2008
SD6,2/1/2008
SD9,2/1/2008
SDA,2/1/2008
SDC,2/1/2008
SDG,22/12/2009
SDN,2/1/2008
SDS,23/07/2008
SDT,2/1/2008
SDU,28/09/2009
SEB,14/01/2009
SED,19/08/2009
SEL,16/09/2010
SFN,2/1/2008
SGC,2/1/2008
SGD,2/1/2008
SGH,2/1/2008
SHE,25/01/2019
SHN,16/12/2009
SHS,25/06/2009
SIC,2/1/2008
SJ1,2/1/2008
SJE,2/1/2008
SKS,17/04/2009
SLS,16/10/2012
SME,25/06/2009
SMN,14/07/2015
SMT,30/07/2010
SNG,2/1/2008
SPC,9/9/2010
SPI,26/09/2012
SRA,18/01/2008
SSM,17/11/2008
SSS,2/1/2008
STC,2/1/2008
STP,2/1/2008
SVN,26/07/2011
SVS,23/09/2009
SZB,20/12/2019
TA9,31/07/2015
TAR,20/02/2019
TAS,25/06/2009
TBX,18/11/2008
TC6,26/06/2008
TDN,21/11/2008
TDT,18/07/2018
TET,28/04/2010
TFC,3/12/2015
THB,19/11/2008
THD,19/06/2020
THS,12/11/2013
THT,24/10/2008
THV,3/12/2010
TIG,8/10/2010
TJC,2/1/2008
TKC,1/12/2009
TKU,2/1/2008
TLC,2/1/2008
TMB,16/01/2017
TMC,2/1/2008
TMX,2/11/2009
TNG,2/1/2008
TOT,17/07/2017
TPH,2/1/2008
TPP,26/09/2008
TSB,19/01/2011
TSM,2/7/2010
TST,2/1/2008
TTC,2/1/2008
TTH,26/10/2016
TTL,18/01/2018
TTT,2/6/2017
TTZ,29/01/2013
TV3,1/12/2009
TV4,22/07/2008
TVC,23/09/2014
TVD,11/1/2011
TXM,2/1/2008
UNI,2/1/2008
V12,5/1/2010
V21,21/04/2010
VBC,17/03/2010
VC1,14/05/2009
VC2,2/1/2008
VC3,2/1/2008
VC6,28/01/2008
VC7,2/1/2008
VC9,5/11/2009
VCC,5/2/2009
VCH,21/07/2010
VCM,11/5/2010
VCS,2/1/2008
VCV,5/8/2010
VDL,2/1/2008
VE1,4/9/2008
VE2,26/07/2010
VE3,30/06/2010
VE4,16/10/2012
VE8,27/08/2012
VGP,2/1/2008
VGS,4/12/2008
VHE,14/01/2019
VHL,12/2/2009
VIE,6/5/2011
VIF,27/10/2021
VIG,1/12/2009
VIT,3/11/2009
VKC,8/12/2010
VLA,4/8/2010
VMC,2/1/2008
VMS,20/10/2015
VNC,2/1/2008
VNF,1/12/2010
VNT,14/08/2009
VSA,22/12/2015
VSM,17/07/2017
VTC,2/1/2008
VTH,29/10/2014
VTJ,29/12/2014
VTL,2/1/2008
VTV,2/1/2008
VTZ,25/11/2021
VXB,22/06/2010
WCS,17/09/2010
WSS,15/12/2009
X20,5/2/2018
YSC,2/1/2008
AAA,15/07/2010
AAM,24/09/2009
AAT,24/03/2021
ABS,18/03/2020
ABT,2/1/2008
ACC,23/12/2009
ACL,2/1/2008
ADG,26/12/2019
ADS,29/06/2016
AGD,7/1/2010
AGG,9/1/2020
AGM,14/12/2012
AGR,10/12/2009
ALP,2/1/2008
AMD,11/11/2014
ANV,2/1/2008
APC,5/2/2010
APG,5/4/2010
APH,28/07/2020
ASG,24/09/2020
ASM,18/01/2010
ASP,15/02/2008
AST,4/1/2018
BAF,3/12/2021
BAS,11/11/2008
BBC,2/1/2008
BCE,28/06/2010
BCG,16/07/2015
BCI,17/03/2009
BCM,21/02/2018
BFC,7/10/2015
BGM,20/06/2011
BHN,28/10/2016
BHS,2/1/2008
BKG,31/12/2020
BMC,2/1/2008
BMI,2/1/2008
BMP,2/1/2008
BRC,13/12/2011
BTP,25/11/2009
BTT,14/04/2010
BVH,25/06/2009
BWE,20/07/2017
C32,24/02/2011
C47,30/03/2011
CAV,8/12/2014
CCI,15/04/2010
CCL,3/3/2011
CDC,2/1/2008
CEE,15/05/2017
CHP,21/04/2010
CIG,19/07/2011
CII,2/1/2008
CKG,25/03/2020
CLC,2/1/2008
CLL,8/7/2014
CLP,15/11/2012
CLW,11/1/2011
CMG,22/01/2010
CMV,21/06/2010
CMX,9/11/2010
CNG,23/11/2011
COM,2/1/2008
CRC,20/08/2018
CRE,5/9/2018
CSG,6/5/2008
CSM,11/8/2009
CSV,18/03/2015
CTD,20/01/2010
CTF,30/05/2017
CTI,19/03/2010
CVT,5/11/2009
D2D,14/08/2009
DAG,8/4/2010
DAH,10/10/2016
DAT,5/11/2015
DBC,18/03/2008
DBD,16/01/2017
DBT,30/10/2009
DC4,3/11/2008
DCC,2/1/2008
DCL,17/09/2008
DCM,31/03/2015
DGC,26/08/2014
DGW,3/8/2015
DHA,2/1/2008
DHC,23/07/2009
DHG,2/1/2008
DHM,25/07/2012
DIG,19/08/2009
DLG,22/06/2010
DMC,2/1/2008
DPG,12/1/2017
DPM,2/1/2008
DPR,2/1/2008
DQC,21/02/2008
DRC,2/1/2008
DRH,26/07/2010
DRL,11/4/2012
DSN,26/10/2010
DTA,16/07/2010
DTL,4/6/2010
DTT,22/12/2006
DVD,22/12/2009
DVP,1/12/2009
DXG,22/12/2009
DXS,15/07/2021
DXV,26/02/2008
ELC,13/10/2010
EMC,29/11/2012
EVE,17/12/2010
EVF,7/8/2018
EVG,8/6/2017
FBT,14/01/2008
FCM,15/05/2013
FCN,25/07/2012
FDC,18/01/2010
FIR,18/10/2018
FIT,26/07/2013
FLC,5/10/2011
FMC,2/1/2008
FPC,2/1/2008
FPT,2/1/2008
FRT,26/04/2018
FTM,6/2/2017
FTS,13/01/2017
GAB,11/7/2019
GAS,21/05/2012
GDT,17/11/2009
GEG,21/03/2017
GEX,11/5/2015
GIL,2/1/2008
GMC,2/1/2008
GMD,2/1/2008
GMH,13/01/2022
GSP,9/3/2012
GTA,2/1/2008
GTN,3/10/2014
GVR,21/03/2018
HAG,22/12/2008
HAH,11/3/2015
HAI,2/1/2008
HAP,2/1/2008
HAR,18/01/2013
HAS,2/1/2008
HAX,2/1/2008
HBC,2/1/2008
HCD,4/7/2016
HCM,19/05/2009
HDC,2/1/2008
HDG,2/2/2010
HHP,8/8/2018
HHS,15/02/2012
HHV,18/12/2015
HID,11/7/2016
HII,22/06/2017
HMC,2/1/2008
HNG,20/07/2015
HOT,21/07/2011
HPG,2/1/2008
HPX,24/07/2018
HQC,20/10/2010
HRC,2/1/2008
HSG,5/12/2008
HSL,10/5/2018
HT1,2/1/2008
HT2,27/03/2009
HTI,20/12/2010
HTL,10/1/2011
HTN,12/11/2018
HTV,2/1/2008
HU1,26/05/2010
HU3,18/03/2011
HUB,26/02/2019
HVH,30/11/2018
HVN,3/1/2017
HVX,28/09/2010
IBC,25/10/2016
ICT,15/01/2020
IDI,30/06/2011
IJC,19/04/2010
ILB,15/05/2019
IMP,2/1/2008
ITA,2/1/2008
ITC,19/10/2009
ITD,7/12/2009
JVC,21/06/2011
KBC,2/1/2008
KDC,2/1/2008
KDH,1/2/2010
KHG,19/07/2021
KHP,2/1/2008
KMR,30/06/2008
KOS,8/12/2017
KPF,2/3/2016
KSB,20/01/2010
L10,2/1/2008
LAF,2/1/2008
LBM,2/1/2008
LCG,18/11/2008
LCM,16/09/2011
LDG,12/8/2015
LEC,14/06/2017
LGC,2/1/2008
LGL,8/10/2009
LHG,23/03/2010
LIX,10/12/2009
LM8,15/11/2010
LSS,9/1/2008
MCG,24/09/2009
MCP,2/1/2008
MCV,2/1/2008
MDG,12/1/2011
MHC,2/1/2008
MSH,28/11/2018
MSN,5/11/2009
MWG,14/07/2014
NAF,7/10/2015
NAV,2/1/2008
NBB,18/02/2009
NCT,8/1/2015
NHA,13/07/2010
NHH,8/9/2017
NHS,2/7/2010
NHT,1/12/2017
NHW,26/01/2010
NKD,2/1/2008
NKG,14/01/2011
NLG,8/4/2013
NNC,23/06/2010
NSC,2/1/2008
NT2,3/2/2010
NTL,2/1/2008
NVL,28/12/2016
NVN,30/03/2010
NVT,7/5/2010
OGC,4/5/2010
OPC,30/10/2008
ORS,12/7/2010
PAC,2/1/2008
PAN,2/1/2008
PC1,16/11/2016
PDN,15/07/2010
PDR,30/07/2010
PET,2/1/2008
PGC,2/1/2008
PGD,26/11/2009
PGV,21/03/2018
PHC,5/11/2009
PHR,18/08/2009
PHT,28/09/2009
PIT,24/01/2008
PJT,2/1/2008
PLP,21/08/2017
PLX,21/04/2017
PME,8/11/2017
PMG,25/01/2018
PNC,11/7/2005
PNJ,23/03/2009
POM,20/04/2010
POW,6/3/2018
PPC,2/1/2008
PSH,24/06/2020
PTB,22/07/2011
PTC,2/1/2008
PTL,22/09/2010
PVD,2/1/2008
PVF,3/11/2008
PVT,2/1/2008
PXI,21/06/2010
PXS,2/6/2010
QBS,14/11/2014
QCG,9/8/2010
RAL,2/1/2008
RDP,22/09/2009
REE,2/1/2008
RIC,2/1/2008
ROS,1/9/2016
S4A,27/05/2016
SAB,6/12/2016
SAM,2/1/2008
SAV,2/1/2008
SBA,1/6/2010
SBT,25/02/2008
SBV,16/05/2017
SC5,2/1/2008
SCD,2/1/2008
SCR,9/11/2010
SCS,12/7/2017
SEC,6/1/2010
SFC,2/1/2008
SFG,1/12/2014
SFI,2/1/2008
SGN,10/12/2015
SGR,11/5/2015
SGT,18/01/2008
SHA,21/01/2013
SHI,30/12/2009
SHP,10/9/2010
SII,12/9/2012
SJD,2/1/2008
SJF,5/7/2017
SJS,2/1/2008
SKG,8/7/2014
SMA,19/10/2010
SMB,8/9/2010
SMC,2/1/2008
SPM,21/05/2010
SRC,7/10/2009
SRF,21/10/2009
SSC,2/1/2008
SSI,2/1/2008
ST8,2/1/2008
STG,2/3/2010
STK,30/09/2015
SVC,2/1/2008
SVD,2/2/2021
SVI,22/12/2008
SVT,5/10/2011
SZC,15/01/2019
SZL,9/9/2008
TAC,2/1/2008
TBC,2/1/2008
TCD,26/05/2017
TCH,5/10/2016
TCL,24/12/2009
TCM,2/1/2008
TCO,7/10/2009
TCR,2/1/2008
TCT,2/1/2008
TDC,4/5/2010
TDG,15/06/2017
TDH,2/1/2008
TDM,1/4/2016
TDP,12/11/2018
TDW,11/11/2010
TEG,22/12/2015
TGG,25/05/2018
THG,28/07/2011
THI,15/06/2017
TIC,12/10/2009
TIP,6/6/2016
TIX,25/11/2009
TLD,7/12/2017
TLG,26/03/2010
TLH,16/03/2010
TMP,18/06/2009
TMS,2/1/2008
TMT,22/01/2010
TN1,30/05/2019
TNA,2/1/2008
TNC,2/1/2008
TNH,6/1/2021
TNI,29/05/2017
TNT,21/05/2010
TPC,2/1/2008
TRA,26/11/2008
TRC,2/1/2008
TRI,2/1/2008
TSC,2/1/2008
TTA,18/09/2020
TTB,26/01/2015
TTE,10/12/2018
TTF,18/02/2008
TV2,13/10/2009
TVB,18/06/2015
TVS,15/01/2015
TVT,17/07/2017
TYA,2/1/2008
UDC,5/7/2010
UIC,2/1/2008
VAF,23/06/2015
VCA,3/3/2011
VCF,28/01/2011
VCG,5/9/2008
VCI,7/7/2017
VDP,15/08/2017
VDS,25/06/2009
VFG,17/12/2009
VGC,15/10/2015
VHC,2/1/2008
VHM,17/05/2018
VIC,2/1/2008
VID,2/1/2008
VIP,2/1/2008
VIS,2/1/2008
VIX,29/12/2009
VJC,28/02/2017
VMD,30/09/2010
VND,30/03/2010
VNE,2/1/2008
VNG,17/12/2009
VNL,17/08/2009
VNM,2/1/2008
VNS,29/07/2008
VOS,8/9/2010
VPD,12/4/2016
VPG,18/01/2018
VPH,9/9/2009
VPI,28/11/2017
VPL,31/01/2008
VPS,19/08/2015
VRC,26/07/2010
VRE,6/11/2017
VSC,9/1/2008
VSH,2/1/2008
VSI,24/12/2010
VTB,2/1/2008
VTF,24/09/2010
VTO,2/1/2008
YBM,21/08/2018
YEG,26/06/2018
A32,23/10/2018
AAS,23/07/2020
ABC,18/08/2016
ABR,12/6/2018
AC4,8/2/2017
ACE,12/11/2009
ACG,4/8/2021
ACS,13/07/2017
ACV,21/11/2016
ADP,9/4/2010
AFC,12/6/2017
AFX,2/12/2016
AG1,10/1/2018
AGF,2/1/2008
AGP,6/10/2015
AGX,14/09/2015
ALV,17/09/2010
AMP,12/1/2017
AMS,6/2/2017
ANT,22/12/2016
APF,8/6/2017
APL,14/10/2016
APT,7/6/2019
AQN,20/05/2019
ASA,12/3/2012
ASD,27/10/2014
ATA,8/9/2009
ATB,25/08/2017
ATD,5/7/2019
ATG,22/08/2016
AUM,26/09/2016
AVC,8/1/2018
AVF,23/11/2010
B82,17/03/2008
BAL,12/1/2018
BAM,4/11/2014
BBH,14/05/2020
BBM,5/1/2018
BBT,2/1/2008
BCA,8/9/2021
BCB,29/10/2018
BCP,14/09/2015
BCV,16/03/2021
BDC,13/09/2018
BDF,6/1/2017
BDG,6/4/2016
BDT,6/9/2017
BDW,14/10/2015
BEL,12/7/2016
BGW,31/10/2017
BHA,2/8/2017
BHC,15/05/2009
BHG,30/10/2018
BHK,5/4/2018
BHP,22/01/2013
BHT,11/1/2011
BHV,2/1/2008
BIG,10/1/2022
BIO,30/08/2018
BKH,26/06/2019
BLN,9/9/2016
BLT,10/7/2017
BLU,25/02/2019
BLW,19/10/2018
BM9,17/07/2019
BMD,14/06/2017
BMF,16/04/2018
BMG,25/12/2018
BMJ,23/12/2009
BMN,6/4/2016
BMS,8/8/2018
BMV,6/6/2017
BNW,28/12/2018
BOT,14/02/2019
BPW,20/12/2017
BQB,9/1/2018
BRR,16/06/2017
BRS,24/01/2017
BSA,20/08/2018
BSD,28/04/2017
BSG,21/11/2016
BSH,4/7/2018
BSL,16/06/2017
BSP,10/8/2016
BSQ,28/02/2017
BSR,1/3/2018
BT1,9/11/2016
BT6,2/1/2008
BTB,12/1/2017
BTC,3/1/2008
BTD,2/3/2017
BTG,16/07/2010
BTH,4/1/2008
BTN,5/1/2018
BTR,26/08/2016
BTU,11/3/2016
BTV,3/3/2017
BUD,28/03/2018
BVG,9/8/2010
BVL,11/6/2021
BVN,11/10/2011
BWA,23/06/2010
BWS,28/11/2017
BXD,27/01/2011
BXT,10/6/2019
C12,26/12/2016
C21,1/11/2016
C22,24/05/2018
C36,31/05/2017
C4G,10/12/2018
C71,3/8/2015
CAB,6/9/2019
CAD,5/1/2009
CAM,7/8/2019
CAT,23/03/2018
CBC,25/11/2019
CBI,28/09/2017
CBS,20/06/2017
CC1,20/07/2017
CC4,28/07/2017
CCA,26/12/2019
CCH,30/08/2017
CCM,18/09/2008
CCP,16/03/2017
CCT,30/06/2017
CCV,9/1/2017
CDG,27/02/2017
CDH,23/06/2016
CDO,9/3/2015
CDP,13/07/2018
CDR,26/06/2017
CE1,10/4/2017
CEC,13/03/2014
CEG,17/05/2017
CEN,15/06/2018
CER,1/11/2017
CFC,7/7/2009
CFM,25/01/2021
CFV,3/6/2019
CGL,3/12/2020
CGP,26/10/2015
CGV,21/06/2017
CH5,14/06/2017
CHC,16/02/2017
CHS,12/1/2017
CI5,1/7/2011
CID,2/1/2008
CIP,27/09/2017
CKA,17/10/2018
CKD,21/05/2015
CKH,12/1/2017
CLG,9/8/2010
CLS,25/06/2009
CLX,1/3/2017
CMD,5/7/2019
CMF,30/11/2016
CMI,23/06/2010
CMK,21/10/2015
CMN,10/7/2017
CMP,15/02/2016
CMT,11/3/2010
CMW,10/4/2017
CNA,9/12/2021
CNC,25/06/2014
CNH,24/04/2015
CNN,1/6/2016
CNT,28/07/2008
CPA,30/12/2019
CPH,8/2/2017
CPI,28/07/2017
CPW,20/09/2019
CQN,18/08/2020
CQT,1/11/2016
CSI,15/03/2019
CST,26/04/2021
CT3,22/04/2010
CT5,16/01/2020
CT6,4/5/2010
CTA,1/10/2010
CTN,2/1/2008
CTR,31/10/2017
CTW,30/09/2016
CVC,5/12/2016
CVH,20/06/2017
CXH,26/02/2016
CYC,2/1/2008
CZC,5/4/2011
D26,4/4/2011
DAC,2/1/2008
DAN,23/12/2021
DAP,30/06/2010
DAR,11/5/2017
DAS,25/09/2014
DBH,8/6/2016
DBM,18/12/2009
DBW,9/1/2017
DC1,19/07/2016
DCD,30/09/2015
DCF,12/1/2017
DCG,14/12/2018
DCH,23/04/2018
DCI,8/3/2017
DCR,8/10/2018
DCS,2/1/2008
DCT,2/1/2008
DDH,30/06/2016
DDM,22/07/2008
DDN,25/06/2009
DDV,9/1/2015
DFC,12/1/2017
DFF,8/7/2021
DGT,18/03/2010
DHB,26/07/2017
DHD,5/5/2017
DHN,19/04/2018
DIC,2/1/2008
DID,10/12/2009
DKC,14/07/2020
DKH,23/03/2020
DKP,10/10/2018
DLC,11/5/2011
DLD,8/4/2011
DLR,20/05/2010
DLT,16/11/2015
DLV,4/4/2011
DM7,15/10/2018
DMN,22/11/2021
DNA,19/10/2017
DNB,25/06/2019
DND,9/11/2016
DNE,5/4/2017
DNF,10/9/2010
DNH,19/06/2017
DNL,1/9/2011
DNN,17/07/2017
DNR,24/06/2016
DNS,27/04/2010
DNT,17/08/2009
DNW,16/03/2016
DNY,11/5/2010
DOC,19/12/2016
DOP,30/10/2015
DP1,12/6/2018
DP2,19/05/2017
DPD,20/01/2021
DPH,20/01/2017
DPP,20/05/2010
DPS,2/7/2021
DRG,11/12/2019
DRI,23/05/2017
DSC,5/1/2018
DSG,11/8/2017
DSP,17/10/2018
DSS,24/04/2017
DSV,2/12/2016
DT4,19/07/2016
DTB,22/07/2019
DTE,31/12/2020
DTG,28/02/2017
DTI,5/1/2018
DTN,23/06/2014
DTP,18/06/2020
DTV,31/03/2011
DUS,8/1/2020
DVC,13/12/2013
DVH,2/11/2010
DVN,19/05/2017
DVW,6/6/2018
DWC,23/12/2021
DWS,24/01/2019
DX2,4/7/2018
DXD,8/5/2020
DXL,5/7/2010
E12,31/12/2019
E29,5/11/2019
EAD,30/09/2016
EFI,30/09/2009
EIC,28/02/2017
EIN,16/03/2017
EME,17/07/2017
EMG,16/02/2017
EMS,5/1/2018
EPC,3/10/2018
EPH,21/12/2017
FBA,18/02/2011
FBC,20/10/2017
FCC,9/5/2016
FCS,3/3/2017
FDG,20/04/2011
FGL,14/09/2018
FHN,29/12/2017
FHS,1/11/2018
FIC,2/8/2018
FOC,10/12/2018
FOX,13/01/2017
FRC,26/07/2018
FRM,24/11/2017
FSC,30/06/2017
FSO,6/2/2017
FT1,27/09/2017
FTI,27/10/2017
G20,9/3/2015
G36,26/12/2016
GCB,28/12/2016
GE2,7/5/2021
GER,31/03/2011
GGG,12/10/2009
GGS,8/12/2016
GH3,4/8/2021
GHC,26/04/2011
GLC,9/1/2019
GLW,8/1/2018
GND,21/02/2017
GQN,9/1/2020
GSM,8/4/2015
GTC,29/01/2015
GTD,16/12/2016
GTH,30/10/2009
GTK,8/1/2020
GTS,21/10/2016
GTT,30/06/2010
GVT,12/1/2017
H11,28/04/2011
HAB,5/1/2018
HAC,18/10/2016
HAF,24/07/2017
HAM,21/08/2017
HAN,20/10/2016
HAV,30/11/2017
HAW,2/7/2020
HBD,27/06/2013
HBH,10/8/2017
HBI,28/03/2016
HBW,18/07/2018
HC1,6/1/2020
HC3,11/7/2017
HCB,18/12/2019
HCI,10/3/2011
HCS,21/04/2017
HD2,16/05/2016
HD3,14/06/2019
HD6,24/11/2020
HD8,15/03/2019
HDM,22/01/2010
HDO,12/11/2009
HDP,16/03/2017
HDW,3/11/2017
HEC,21/12/2016
HEJ,14/07/2017
HEM,3/1/2017
HEP,15/12/2017
HES,7/12/2016
HFB,30/03/2017
HFC,16/03/2010
HFS,15/01/2018
HFT,18/01/2018
HFX,10/11/2011
HGA,7/2/2020
HGC,12/3/2020
HGR,2/7/2020
HGT,15/10/2020
HGW,11/1/2017
HHA,9/1/2015
HHN,16/12/2016
HHR,17/02/2017
HIG,25/06/2009
HIZ,27/07/2018
HJC,14/10/2015
HKB,8/4/2015
HKC,22/05/2020
HKP,8/4/2016
HLA,30/10/2008
HLB,8/2/2017
HLE,14/11/2017
HLG,9/9/2009
HLR,28/11/2016
HLS,16/10/2017
HLT,27/12/2019
HLY,2/1/2008
HMG,9/9/2016
HMS,5/6/2017
HNA,5/10/2017
HNB,22/10/2015
HND,5/10/2016
HNE,13/02/2020
HNF,3/11/2015
HNI,12/12/2017
HNP,20/12/2016
HNR,8/6/2018
HNT,30/11/2016
HPB,29/04/2010
HPD,9/4/2015
HPH,28/12/2017
HPI,5/10/2017
HPL,24/08/2010
HPP,6/8/2010
HPT,18/06/2010
HPU,8/1/2018
HPW,21/11/2016
HRB,6/11/2017
HRG,12/10/2016
HRT,15/09/2016
HSA,23/01/2017
HSI,2/1/2008
HSM,19/04/2018
HSP,30/03/2020
HSV,27/04/2021
HTE,24/07/2017
HTG,14/06/2017
HTH,23/07/2021
HTK,12/9/2018
HTM,4/5/2018
HTR,22/02/2017
HTT,5/7/2017
HTU,2/12/2016
HTW,14/12/2016
HU4,29/01/2016
HU6,19/11/2015
HUG,18/12/2017
HUX,4/9/2020
HVA,30/07/2015
HVC,3/12/2010
HVG,25/11/2009
HWS,27/07/2018
I10,7/4/2016
IBD,24/05/2019
IBN,17/05/2021
ICC,1/6/2016
ICF,2/1/2008
ICI,7/7/2010
ICN,12/6/2015
IDN,12/1/2018
IDP,7/1/2021
IFC,22/03/2016
IFS,2/1/2008
IHK,8/3/2010
IKH,8/1/2018
ILA,28/11/2017
ILC,2/1/2008
ILS,19/03/2018
IME,13/04/2010
IMT,7/5/2010
IN4,1/6/2010
IPH,3/7/2019
IRC,22/01/2018
ISG,22/09/2015
ISH,29/06/2015
IST,5/1/2017
ITS,18/12/2015
JOS,28/07/2017
JSC,6/7/2010
KAC,27/10/2010
KBE,25/03/2010
KCB,30/11/2015
KCE,25/03/2011
KDF,28/09/2017
KGM,21/09/2017
KGU,26/06/2017
KHA,2/1/2008
KHB,19/05/2010
KHD,22/12/2016
KHL,21/02/2012
KHW,20/02/2017
KIP,12/4/2016
KLM,30/12/2019
KSA,27/07/2010
KSC,17/06/2010
KSE,11/8/2017
KSH,12/11/2008
KSK,19/02/2014
KSS,4/1/2010
KSV,28/07/2016
