Company,Date First
GEE,8/3/2022
AAV,25/06/2018
ACM,23/07/2015
ADC,24/12/2010
AGC,5/1/2009
ALT,2/1/2008
AMC,15/02/2012
AME,2/6/2010
AMV,30/12/2009
API,27/10/2009
APP,5/10/2010
APS,25/06/2009
ARM,26/10/2010
ART,2/8/2017
ATS,29/03/2016
AVS,22/04/2010
BAX,24/03/2017
BBS,2/1/2008
BCC,2/1/2008
BCF,16/03/2020
BDB,29/01/2010
BED,21/10/2009
BII,22/09/2014
BKC,18/08/2009
BLF,2/6/2008
BNA,12/10/2020
BPC,2/1/2008
BSC,5/1/2011
BST,18/12/2008
BTS,2/1/2008
BTW,9/3/2010
BVS,2/1/2008
BXH,25/11/2009
C69,21/04/2017
C92,2/1/2008
CAG,4/12/2017
CAN,2/1/2008
CAP,9/1/2008
CCR,24/09/2015
CDN,30/03/2016
CEO,29/09/2014
CET,28/07/2017
CIA,29/11/2017
CIC,2/1/2008
CJC,2/1/2008
CKV,11/3/2010
CLH,7/6/2016
CLM,15/04/2016
CMC,2/1/2008
CMS,29/11/2010
CPC,18/01/2010
CSC,4/11/2009
CTB,2/1/2008
CTC,18/07/2008
CTM,7/8/2009
CTP,28/07/2016
CTT,17/07/2015
CTV,9/9/2011
CTX,24/05/2012
CVN,6/8/2010
CX8,19/05/2010
D11,25/02/2011
DAD,19/08/2009
DAE,2/1/2008
DC2,2/7/2010
DDG,18/12/2018
DGL,20/10/2015
DHI,2/1/2008
DHL,6/6/2012
DHP,21/03/2013
DHT,3/12/2008
DIH,27/04/2011
DL1,10/3/2010
DNC,23/12/2009
DNM,16/02/2011
DNP,4/11/2015
DP3,17/07/2015
DPC,2/1/2008
DS3,21/08/2017
DST,2/1/2008
DTC,2/1/2008
DTD,16/11/2017
DTK,15/12/2016
DVG,14/01/2021
DXP,2/1/2008
DZM,11/6/2009
EBA,31/12/2019
EBS,2/1/2008
ECI,16/06/2009
EID,11/8/2009
EVS,1/8/2018
FDT,12/9/2011
FID,20/05/2015
GBS,11/10/2010
GDW,27/10/2021
GFC,21/04/2011
GHA,2/1/2008
GIC,6/11/2020
GKM,17/07/2017
GLT,26/11/2009
GMA,1/12/2020
GMX,15/09/2011
HAD,27/10/2009
HAT,29/10/2010
HBE,22/02/2008
HBS,16/07/2010
HCC,2/1/2008
HCT,2/1/2008
HDA,27/12/2010
HEV,2/1/2008
HGM,21/12/2009
HHC,2/1/2008
HHG,28/07/2010
HHL,8/1/2010
HJS,2/1/2008
HKT,12/1/2017
HLC,6/3/2009
HLD,26/03/2013
HMH,28/07/2010
HMR,13/01/2022
HNM,2/1/2008
HOM,9/7/2009
HPC,2/1/2008
HPM,18/01/2016
HPR,12/5/2011
HPS,2/1/2008
HSC,2/1/2008
HST,29/12/2009
HTB,19/10/2010
HTC,7/5/2010
HTP,2/1/2008
HUT,11/4/2008
HVT,8/5/2009
ICG,21/04/2009
IDC,24/11/2017
IDJ,13/09/2010
IDV,1/6/2010
INC,14/07/2011
INN,22/01/2010
IPA,17/06/2016
ITQ,1/10/2012
IVS,1/8/2011
KBT,29/07/2010
KDM,29/03/2016
KHS,26/12/2017
KKC,21/08/2008
KLF,23/09/2013
KLS,28/01/2008
KMF,2/1/2008
KMT,11/8/2009
KSD,28/04/2010
KSF,6/10/2021
KSQ,26/07/2013
KST,29/12/2010
KTS,31/12/2010
KTT,28/10/2010
KVC,14/04/2015
L14,13/09/2011
L18,23/04/2008
L35,25/03/2010
L40,27/01/2021
L43,11/6/2008
L61,19/11/2008
L62,21/04/2008
LAS,1/3/2012
LBE,22/02/2008
LCD,15/11/2010
LCS,6/7/2010
LDP,20/07/2010
LHC,13/01/2010
LIG,22/04/2010
LM7,28/10/2010
LUT,4/1/2008
MAC,24/12/2009
MAS,10/9/2009
MAX,15/09/2010
MBG,26/11/2015
MBS,28/03/2016
MCC,26/04/2010
MCF,14/02/2011
MCL,13/12/2010
