Date,event,link
24/01/2022,"AAV: Ngày 16/12/2022, giao dịch đầu tiên 30.000.000 cổ phiếu niêm yết bổ sung",https://s.cafef.vn//aav-461791/aav-ngay-16122022-giao-dich-dau-tien-30000000-co-phieu-niem-yet-bo-sung.chn
13/01/2022,AAV: Chấp thuận niêm yết bổ sung 30.000.000 cổ phiếu,https://s.cafef.vn//aav-459414/aav-chap-thuan-niem-yet-bo-sung-30000000-co-phieu.chn
13/12/2021,AAV: Báo cáo tiến độ sử dụng vốn/số tiền thu được từ đợt chào bán cổ phiếu riêng lẻ,https://s.cafef.vn//aav-453490/aav-bao-cao-tien-do-su-dung-vonso-tien-thu-duoc-tu-dot-chao-ban-co-phieu-rieng-le.chn
07/12/2021,AAV: Đã phát hành 30.000.000 cp riêng lẻ,https://s.cafef.vn//aav-452398/aav-da-phat-hanh-30000000-cp-rieng-le.chn
07/12/2021,AAV: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 66.656.180 cp,https://s.cafef.vn//aav-452397/aav-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-66656180-cp.chn
07/12/2021,AAV: Nghị quyết HĐQT thông qua báo cáo kết quả phát hành cổ phiếu riêng lẻ,https://s.cafef.vn//aav-452380/aav-nghi-quyet-hdqt-thong-qua-bao-cao-ket-qua-phat-hanh-co-phieu-rieng-le.chn
11/10/2021,Việt Tiên Sơn địa ốc (AAV) thông qua chi tiết phương án chào bán riêng lẻ 30 triệu cổ phiếu,https://s.cafef.vn//aav-441297/viet-tien-son-dia-oc-aav-thong-qua-chi-tiet-phuong-an-chao-ban-rieng-le-30-trieu-co-phieu.chn
06/09/2021,"AAV: Ngày 09/09/2021, giao dịch đầu tiên 4.781.184 cổ phiếu niêm yết bổ sung",https://s.cafef.vn//aav-435866/aav-ngay-09092021-giao-dich-dau-tien-4781184-co-phieu-niem-yet-bo-sung.chn
26/08/2021,AAV: Chấp thuận niêm yết bổ sung 4.781.184 cổ phiếu,https://s.cafef.vn//aav-434515/aav-chap-thuan-niem-yet-bo-sung-4781184-co-phieu.chn
21/07/2021,AAV: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 36.656.180 cp,https://s.cafef.vn//aav-427162/aav-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-36656180-cp.chn
14/05/2021,AAV: Nghị quyết HĐQT thông qua việc phát hành trái phiếu,https://s.cafef.vn//aav-415080/aav-nghi-quyet-hdqt-thong-qua-viec-phat-hanh-trai-phieu.chn
14/05/2019,"AAV: Ngày 21/05/2019, giao dịch đầu tiên 17.500.000 cổ phiếu niêm yết bổ sung",https://s.cafef.vn//aav-308505/aav-ngay-21052019-giao-dich-dau-tien-17500000-co-phieu-niem-yet-bo-sung.chn
08/05/2019,AAV: Chấp thuận niêm yết bổ sung 17.500.000 cổ phiếu,https://s.cafef.vn//aav-308498/aav-chap-thuan-niem-yet-bo-sung-17500000-co-phieu.chn
12/04/2019,AAV: Báo cáo tiến độ sử dụng vốn thu được từ đợt chào bán chứng khoán ra công chúng,https://s.cafef.vn//aav-301425/aav-bao-cao-tien-do-su-dung-von-thu-duoc-tu-dot-chao-ban-chung-khoan-ra-cong-chung.chn
09/04/2019,AAV: Đã phát hành 17.500.000 cp,https://s.cafef.vn//aav-301005/aav-da-phat-hanh-17500000-cp.chn
09/04/2019,AAV: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 31.874.996 cp,https://s.cafef.vn//aav-301004/aav-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-31874996-cp.chn
08/04/2019,"AAV: Nghị quyết HĐQT phê duyệt p/an xử lý cp lẻ, cp không phân phối hết trong đợt chào bán cp ra công chúng",https://s.cafef.vn//aav-300399/aav-nghi-quyet-hdqt-phe-duyet-pan-xu-ly-cp-le-cp-khong-phan-phoi-het-trong-dot-chao-ban-cp-ra-cong-chung.chn
04/03/2019,"AAV: 4.3.2019, ngày GDKHQ bán ưu đãi 10.000 đ/cp (tỷ lệ 23:28)",https://s.cafef.vn//aav-293352/aav-432019-ngay-gdkhq-ban-uu-dai-10000-dcp-ty-le-2328.chn
26/02/2019,AAV: Thông báo về ngày ĐKCC để thực hiện quyền mua cổ phiếu của cổ đông hiện hữu,https://s.cafef.vn//aav-293291/aav-thong-bao-ve-ngay-dkcc-de-thuc-hien-quyen-mua-co-phieu-cua-co-dong-hien-huu.chn
22/02/2019,AAV: Nghị quyết của HĐQT v/v thay đổi ngày ĐKCC để thực hiện quyền mua cổ phiếu bán ưu đãi,https://s.cafef.vn//aav-292998/aav-nghi-quyet-cua-hdqt-vv-thay-doi-ngay-dkcc-de-thuc-hien-quyen-mua-co-phieu-ban-uu-dai.chn
18/02/2019,AAV: Nghị quyết của HĐQT về ngày ĐKCC để thực hiện quyền mua cp bán ưu đãi cho cổ đông hiện hữu,https://s.cafef.vn//aav-292394/aav-nghi-quyet-cua-hdqt-ve-ngay-dkcc-de-thuc-hien-quyen-mua-cp-ban-uu-dai-cho-co-dong-hien-huu.chn
19/11/2018,"AAV: Ngày 22/11/2018, giao dịch 1.874.996 cổ phiếu niêm yết bổ sung",https://s.cafef.vn//aav-283624/aav-ngay-22112018-giao-dich-1874996-co-phieu-niem-yet-bo-sung.chn
06/11/2018,AAV: Chấp thuận niêm yết bổ sung 1.874.996 cổ phiếu,https://s.cafef.vn//aav-282602/aav-chap-thuan-niem-yet-bo-sung-1874996-co-phieu.chn
11/10/2018,AAV: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 14.374.996 CP,https://s.cafef.vn//aav-280005/aav-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-14374996-cp.chn
11/10/2018,AAV: Đã phát hành 1.874.996 cổ phiếu để trả cổ tức,https://s.cafef.vn//aav-280004/aav-da-phat-hanh-1874996-co-phieu-de-tra-co-tuc.chn
11/06/2018,"AAV: Ngày 25/06/2018, giao dịch đầu tiên 12.500.000 cổ phiếu niêm yết",https://s.cafef.vn//aav-266326/aav-ngay-25062018-giao-dich-dau-tien-12500000-co-phieu-niem-yet.chn
