Date,event,link
08/11/2019,C69: Chấp thuận niêm yết bổ sung 5.000.000 cổ phiếu,https://s.cafef.vn//c69-330366/c69-chap-thuan-niem-yet-bo-sung-5000000-co-phieu.chn
01/11/2019,C69: Nghị quyết HĐQT v/v niêm yết bổ sung 5.000.000 cp,https://s.cafef.vn//c69-327417/c69-nghi-quyet-hdqt-vv-niem-yet-bo-sung-5000000-cp.chn
21/10/2019,C69: Số cổ phiếu có quyền biểu quyết đang lưu hành là 15.000.000 cp,https://s.cafef.vn//c69-325975/c69-so-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-15000000-cp.chn
21/10/2019,C69: Đã phân phối 5.000.000 cp ra công chúng,https://s.cafef.vn//c69-325976/c69-da-phan-phoi-5000000-cp-ra-cong-chung.chn
29/08/2019,"C69: 3.9.2019, ngày GDKHQ bán ưu đãi 10.000 đ/cp (tỷ lệ 2:1)",https://s.cafef.vn//c69-321930/c69-392019-ngay-gdkhq-ban-uu-dai-10000-dcp-ty-le-21.chn
26/08/2019,C69: Thông báo phát hành cổ phiếu ra công chúng,https://s.cafef.vn//c69-320601/c69-thong-bao-phat-hanh-co-phieu-ra-cong-chung.chn
27/05/2019,C69: Nghị quyết HĐQT thông qua p/an sử dụng chi tiết vốn thu được từ đợt chào bán,https://s.cafef.vn//c69-308650/c69-nghi-quyet-hdqt-thong-qua-pan-su-dung-chi-tiet-von-thu-duoc-tu-dot-chao-ban.chn
02/04/2019,C69: Báo cáo tình hình sử dụng vốn thu được từ đợt phát hành cổ phiếu riêng lẻ,https://s.cafef.vn//c69-299200/c69-bao-cao-tinh-hinh-su-dung-von-thu-duoc-tu-dot-phat-hanh-co-phieu-rieng-le.chn
25/01/2019,C69: Nghị quyết HĐQT thông qua p/an sử dụng chi tiết vốn thu được từ đợt chào bán cp,https://s.cafef.vn//c69-290380/c69-nghi-quyet-hdqt-thong-qua-pan-su-dung-chi-tiet-von-thu-duoc-tu-dot-chao-ban-cp.chn
08/11/2018,"C69: Ngày 12/11/2018, giao dịch 5.000.000 cổ phiếu niêm yết bổ sung",https://s.cafef.vn//c69-282796/c69-ngay-12112018-giao-dich-5000000-co-phieu-niem-yet-bo-sung.chn
26/10/2018,C69: Chấp thuận niêm yết bổ sung 5.000.000 cổ phiếu,https://s.cafef.vn//c69-281538/c69-chap-thuan-niem-yet-bo-sung-5000000-co-phieu.chn
29/08/2018,C69: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 10.000.000 CP,https://s.cafef.vn//c69-276190/c69-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-10000000-cp.chn
29/08/2018,C69: Đã phát hành 5.000.000 cổ phiếu riêng lẻ,https://s.cafef.vn//c69-276186/c69-da-phat-hanh-5000000-co-phieu-rieng-le.chn
17/04/2017,"C69: Ngày 21/4/2017, giao dịch đầu tiên 5.000.000 cổ phiếu niêm yết",https://s.cafef.vn//c69-218446/c69-ngay-2142017-giao-dich-dau-tien-5000000-co-phieu-niem-yet.chn
