Date,event,link
04/11/2021,"C69: Ngày 15/09/2022, giao dịch đầu tiên 30.000.000 cổ phiếu niêm yết bổ sung",https://s.cafef.vn//c69-446287/c69-ngay-15092022-giao-dich-dau-tien-30000000-co-phieu-niem-yet-bo-sung.chn
21/10/2021,C69: Chấp thuận niêm yết bổ sung 30.000.000 cổ phiếu,https://s.cafef.vn//c69-443386/c69-chap-thuan-niem-yet-bo-sung-30000000-co-phieu.chn
29/09/2021,C69: Nghị quyết HĐQT thông qua niêm yết bổ sung 30.000.000 cp,https://s.cafef.vn//c69-440327/c69-nghi-quyet-hdqt-thong-qua-niem-yet-bo-sung-30000000-cp.chn
16/09/2021,C69: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 60.000.000 cp,https://s.cafef.vn//c69-437649/c69-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-60000000-cp.chn
16/09/2021,C69: Đã phát hành 30.000.000 cp riêng lẻ,https://s.cafef.vn//c69-437650/c69-da-phat-hanh-30000000-cp-rieng-le.chn
21/05/2021,C69: Nghị quyết HĐQT triển khai phương án phát hành cp riêng lẻ,https://s.cafef.vn//c69-419552/c69-nghi-quyet-hdqt-trien-khai-phuong-an-phat-hanh-cp-rieng-le.chn
19/04/2021,C69: Báo cáo sử dụng vốn của chủ sở hữu từ ngày 12/10/2020 đến ngày 29/03/2021 được kiểm toán,https://s.cafef.vn//c69-409247/c69-bao-cao-su-dung-von-cua-chu-so-huu-tu-ngay-12102020-den-ngay-29032021-duoc-kiem-toan.chn
01/12/2020,"C69: Ngày 07/12/2020, giao dịch đầu tiên 15.000.000 cổ phiếu niêm yết bổ sung",https://s.cafef.vn//c69-392341/c69-ngay-07122020-giao-dich-dau-tien-15000000-co-phieu-niem-yet-bo-sung.chn
20/11/2020,C69: Chấp thuận niêm yết bổ sung 15.000.000 cổ phiếu,https://s.cafef.vn//c69-385026/c69-chap-thuan-niem-yet-bo-sung-15000000-co-phieu.chn
23/10/2020,C69: CBTT Báo cáo vốn đầu tư của chủ sở hữu,https://s.cafef.vn//c69-379706/c69-cbtt-bao-cao-von-dau-tu-cua-chu-so-huu.chn
17/10/2020,C69: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 30.000.000 cp,https://s.cafef.vn//c69-379094/c69-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-30000000-cp.chn
17/10/2020,C69: Đã phát hành 15.000.000 cp riêng lẻ,https://s.cafef.vn//c69-379024/c69-da-phat-hanh-15000000-cp-rieng-le.chn
17/10/2020,C69: Nghị quyết HĐQT thông qua kết quả chào bán cp riêng lẻ,https://s.cafef.vn//c69-379022/c69-nghi-quyet-hdqt-thong-qua-ket-qua-chao-ban-cp-rieng-le.chn
28/07/2020,C69: Báo cáo kiểm toán sử dụng vốn thu được từ phát hành cổ phiếu,https://s.cafef.vn//c69-367440/c69-bao-cao-kiem-toan-su-dung-von-thu-duoc-tu-phat-hanh-co-phieu.chn
21/04/2020,C69: Nghị quyết HĐQT thông qua phương án sử dụng chi tiết vốn thu được từ đợt chào bán,https://s.cafef.vn//c69-349434/c69-nghi-quyet-hdqt-thong-qua-phuong-an-su-dung-chi-tiet-von-thu-duoc-tu-dot-chao-ban.chn
16/04/2020,C69: Báo cáo tiến độ sử dụng vốn thu được từ đợt chào bán chứng khoán ra công chúng,https://s.cafef.vn//c69-348548/c69-bao-cao-tien-do-su-dung-von-thu-duoc-tu-dot-chao-ban-chung-khoan-ra-cong-chung.chn
08/04/2020,C69: Báo cáo thay đổi phương án sử dụng vốn thu được từ đợt chào bán chứng khoán ra công chúng,https://s.cafef.vn//c69-346933/c69-bao-cao-thay-doi-phuong-an-su-dung-von-thu-duoc-tu-dot-chao-ban-chung-khoan-ra-cong-chung.chn
19/11/2019,"C69: Ngày 19/11/2019, ngày giao dịch đầu tiên 5.000.000 cổ phiếu niêm yết bổ sung",https://s.cafef.vn//c69-331541/c69-ngay-19112019-ngay-giao-dich-dau-tien-5000000-co-phieu-niem-yet-bo-sung.chn
14/11/2019,"C69: Ngày 19/11/2019, giao dịch đầu tiên 5.000.000 cổ phiếu niêm yết bổ sung",https://s.cafef.vn//c69-330368/c69-ngay-19112019-giao-dich-dau-tien-5000000-co-phieu-niem-yet-bo-sung.chn
12/11/2019,C69: Nghị quyết HĐQT thông qua điều chỉnh p/an sử dụng chi tiết vốn thu được từ đợt chào bán,https://s.cafef.vn//c69-328344/c69-nghi-quyet-hdqt-thong-qua-dieu-chinh-pan-su-dung-chi-tiet-von-thu-duoc-tu-dot-chao-ban.chn
